slug,name,city,category,content,subline,main_image,michelin_stars,crown,lat,long
taichung-green-museumbrary,Taichung Green Museumbrary,taichung,Culture,"The Taichung Green Museumbrary is a unique cultural space located in Taichung, Taiwan. This innovative facility combines a museum and a library, encouraging visitors to explore art, nature, and literature. Set in a green environment, it promotes sustainability and offers a variety of exhibitions, workshops, and activities that engage the community and foster a love for learning. Its design and concept reflect a commitment to environmental consciousness, making it a must-visit destination for those interested in culture and ecology.",,https://framerusercontent.com/images/gZTkzGzn400LhCJs4cfAzViUIQY.jpg,0,false,24.1477,120.6736
toranomon-hills,Toranomon Hills,tokyo,Other,"Toranomon Hills is a prominent mixed-use development located in the heart of Tokyo, Japan. This skyscraper complex features office spaces, luxury residences, retail shops, and cultural venues, all designed to enhance urban living. Known for its modern architectural style and vibrant atmosphere, Toranomon Hills serves as a hub for business and leisure, attracting both locals and tourists alike. Although it currently holds no Michelin stars, its diverse dining options and proximity to various attractions make it a noteworthy destination in Tokyo.",,https://framerusercontent.com/images/JmvA3ANxKHcOnhXZhh0OXSkpKc.jpg,0,false,35.6674688,139.7477648
dolce-tacubo-caffe,Dolce Tacubo Caffe,tokyo,Dining,"Dolce Tacubo Caffe is a charming café located in the upscale Toranomon Hills area of Tokyo. Known for its inviting atmosphere and delicious offerings, this café provides a perfect spot for coffee lovers and those seeking a cozy place to relax. While it currently holds no Michelin stars, it has garnered positive reviews for its quality service and delightful menu. Whether you're looking to enjoy a quick coffee break or a leisurely meal, Dolce Tacubo Caffe is a great choice in the bustling city of Tokyo.",,https://framerusercontent.com/images/yKmtaB6Gk4VbaCPsNtEDyCEjAw.webp,0,false,35.6762,139.6503
sta-azabudai,Sta. Azabudai,tokyo,Dining,"Sta. Azabudai is a contemporary dining establishment located in the vibrant Azabudai Hills of Tokyo. Known for its innovative culinary offerings and inviting atmosphere, this restaurant aims to provide a unique dining experience that reflects the dynamic culture of the city. Although it currently holds no Michelin stars, it has garnered attention for its quality and creativity. Perfectly situated in an area known for its blend of traditional charm and modern sophistication, Sta. Azabudai is set to become a noteworthy destination for both locals and visitors alike.",,https://framerusercontent.com/images/c1RyidiYq90d5aSg6xV9OXWBY.jpg,0,false,35.6624802,139.7447379
the-sky-taipei,The Sky Taipei,taipei,Hotels,"The Sky Taipei is an upscale dining establishment located in the vibrant city of Taipei, known for its stunning views and exquisite culinary offerings. This restaurant features a modern ambiance and a diverse menu that showcases both local Taiwanese flavors and international cuisine. With a focus on quality ingredients and innovative presentations, The Sky Taipei aims to provide diners with a memorable gastronomic experience. Although it currently holds no Michelin stars, its reputation for excellence continues to grow among both locals and visitors.",,https://framerusercontent.com/images/E8dg3BBqlBkpMTzwyEbwldaJAUQ.jpg,0,false,25.033,121.5654
bon-broth,Bon Broth,singapore,Dining,"Bon Broth, located in Singapore and associated with renowned chef Andre Chiang, offers a unique dining experience focused on nourishing bone broth. While it currently holds no Michelin stars, the establishment has garnered attention for its dedication to quality and flavor. Whether you're a local or a visitor, Bon Broth promises a warm and hearty meal that celebrates the rich culinary traditions of broth-making.",,https://framerusercontent.com/images/nwGgUaOMUKsoPENXwxtofKveX8.jpg,0,false,1.3521,103.8198
frenchie-frenchie,Frenchie Frenchie,taichung,Dining,"Frenchie Frenchie is a charming restaurant located in Taichung, known for its vibrant atmosphere and delicious culinary offerings. While it currently holds no Michelin stars, it is praised for its unique dishes and welcoming ambiance, making it a popular spot among locals and visitors alike. The restaurant aims to provide a memorable dining experience, showcasing a blend of flavors that reflect the culinary diversity of the region.",,https://framerusercontent.com/images/7hxGK1nk1OcVA08BfgyijFUEvqc.jpg,0,false,24.1477,120.6736
scoopy-hill,Scoopy Hill,tainan,Dining,"Scoopy Hill is a renowned dining destination located in Tainan, known for its unique ambiance and innovative menu. With a focus on fresh, local ingredients, this establishment offers a diverse range of dishes that highlight the rich culinary heritage of the region. Although it currently holds no Michelin stars, it has garnered a loyal following and is recognized for its commitment to quality and customer satisfaction. The restaurant has a crown designation, indicating its popularity and esteemed reputation among diners.",,https://framerusercontent.com/images/41CYrscPM4DYHfweCslg9gON7I0.jpg,0,true,22.9997,120.227
zyuu-tsubo,Zyuu Tsubo,tainan,Dining,"Zyuu Tsubo is a noteworthy dining establishment located in Tainan, known for its unique culinary offerings. While it currently holds no Michelin stars, it has garnered attention for its innovative dishes and inviting atmosphere. The restaurant is recognized for its commitment to quality and creativity, making it a popular choice for both locals and visitors seeking a memorable dining experience.",,https://framerusercontent.com/images/CT3zsTjWCnDpnGdb0IHJpXdIdA.jpg,0,false,22.9997,120.227
sidoli-radio,Sidoli Radio,taipei,Dining,"Sidoli Radio is a vibrant establishment located in Taipei, known for its unique blend of music and ambiance. While it currently holds no Michelin stars and has not been reviewed, the venue promises an engaging experience for locals and visitors alike. With its eclectic atmosphere, Sidoli Radio serves as a hub for music enthusiasts, making it a noteworthy spot in the city's lively cultural scene.",,https://framerusercontent.com/images/oaYUQWVI97QJFysOdCl4PN0YMBo.jpg,0,false,25.033,121.5654
