Name,Brand,Card Tags,Category,City,Content,Crown,Lat,Located Here,Location,Long,Main Image,Michelin Stars,My Rating,Person,Place,Reviewed,Slug,Subline
Taichung Green Museumbrary,," ",Space,taichung,"The Taichung Green Museumbrary is a unique cultural space located in Taichung, Taiwan. This innovative facility combines a museum and a library, encouraging visitors to explore art, nature, and literature. Set in a green environment, it promotes sustainability and offers a variety of exhibitions, workshops, and activities that engage the community and foster a love for learning. Its design and concept reflect a commitment to environmental consciousness, making it a must-visit destination for those interested in culture and ecology.",No,0,,,0,https://framerusercontent.com/images/gZTkzGzn400LhCJs4cfAzViUIQY.jpg,0,0,,,No,taichung-green-museumbrary,
Toranomon Hills,," ",Other,tokyo,"Toranomon Hills is a prominent mixed-use development located in the heart of Tokyo, Japan. This skyscraper complex features office spaces, luxury residences, retail shops, and cultural venues, all designed to enhance urban living. Known for its modern architectural style and vibrant atmosphere, Toranomon Hills serves as a hub for business and leisure, attracting both locals and tourists alike. Although it currently holds no Michelin stars, its diverse dining options and proximity to various attractions make it a noteworthy destination in Tokyo.",No,0,"apothéose (https://www.notion.so/apoth-ose-238c0bd391b0812fa15bc8b68d05fa81?pvs=21), Hotel Toranomon Hills (https://www.notion.so/Hotel-Toranomon-Hills-238c0bd391b081328608c11d05b21fa0?pvs=21), Toranomon Yokocho (https://www.notion.so/Toranomon-Yokocho-238c0bd391b081309683ef28281084cd?pvs=21), Andaz Tokyo Toranomon Hills (https://www.notion.so/Andaz-Tokyo-Toranomon-Hills-238c0bd391b08122bd1cddafb9a5928a?pvs=21)",,0,https://framerusercontent.com/images/JmvA3ANxKHcOnhXZhh0OXSkpKc.jpg,0,0,,,No,toranomon-hills,
Dolce Tacubo Caffe,," ",Eat & Drink,tokyo,"Dolce Tacubo Caffe is a charming café located in the upscale Toranomon Hills area of Tokyo. Known for its inviting atmosphere and delicious offerings, this café provides a perfect spot for coffee lovers and those seeking a cozy place to relax. While it currently holds no Michelin stars, it has garnered positive reviews for its quality service and delightful menu. Whether you're looking to enjoy a quick coffee break or a leisurely meal, Dolce Tacubo Caffe is a great choice in the bustling city of Tokyo.",No,0,,,0,https://framerusercontent.com/images/yKmtaB6Gk4VbaCPsNtEDyCEjAw.webp,0,0,,,Yes,dolce-tacubo-caffe,
Sta. Azabudai,," ",Eat & Drink,tokyo,"Sta. Azabudai is a contemporary dining establishment located in the vibrant Azabudai Hills of Tokyo. Known for its innovative culinary offerings and inviting atmosphere, this restaurant aims to provide a unique dining experience that reflects the dynamic culture of the city. Although it currently holds no Michelin stars, it has garnered attention for its quality and creativity. Perfectly situated in an area known for its blend of traditional charm and modern sophistication, Sta. Azabudai is set to become a noteworthy destination for both locals and visitors alike.",No,0,,,0,https://framerusercontent.com/images/c1RyidiYq90d5aSg6xV9OXWBY.jpg,0,0,,,Yes,sta-azabudai,
The Sky Taipei,," ",Stay,taipei,"The Sky Taipei is an upscale dining establishment located in the vibrant city of Taipei, known for its stunning views and exquisite culinary offerings. This restaurant features a modern ambiance and a diverse menu that showcases both local Taiwanese flavors and international cuisine. With a focus on quality ingredients and innovative presentations, The Sky Taipei aims to provide diners with a memorable gastronomic experience. Although it currently holds no Michelin stars, its reputation for excellence continues to grow among both locals and visitors.",No,0,,,0,https://framerusercontent.com/images/E8dg3BBqlBkpMTzwyEbwldaJAUQ.jpg,0,0,,,No,the-sky-taipei,
Bon Broth,andre-chiang," ",Eat & Drink,singapore,"Bon Broth, located in Singapore and associated with renowned chef Andre Chiang, offers a unique dining experience focused on nourishing bone broth. While it currently holds no Michelin stars, the establishment has garnered attention for its dedication to quality and flavor. Whether you're a local or a visitor, Bon Broth promises a warm and hearty meal that celebrates the rich culinary traditions of broth-making.",No,0,,,0,https://framerusercontent.com/images/nwGgUaOMUKsoPENXwxtofKveX8.jpg,0,0,,,No,bon-broth,
Frenchie Frenchie,," ",Eat & Drink,taichung,"Frenchie Frenchie is a charming restaurant located in Taichung, known for its vibrant atmosphere and delicious culinary offerings. While it currently holds no Michelin stars, it is praised for its unique dishes and welcoming ambiance, making it a popular spot among locals and visitors alike. The restaurant aims to provide a memorable dining experience, showcasing a blend of flavors that reflect the culinary diversity of the region.",No,0,,,0,https://framerusercontent.com/images/7hxGK1nk1OcVA08BfgyijFUEvqc.jpg,0,0,,,No,frenchie-frenchie,
Scoopy Hill,," ",Eat & Drink,tainan,"Scoopy Hill is a renowned dining destination located in Tainan, known for its unique ambiance and innovative menu. With a focus on fresh, local ingredients, this establishment offers a diverse range of dishes that highlight the rich culinary heritage of the region. Although it currently holds no Michelin stars, it has garnered a loyal following and is recognized for its commitment to quality and customer satisfaction. The restaurant has a crown designation, indicating its popularity and esteemed reputation among diners.",Yes,0,,,0,https://framerusercontent.com/images/41CYrscPM4DYHfweCslg9gON7I0.jpg,0,0,,,Yes,scoopy-hill,
Zyuu Tsubo,," ",Eat & Drink,tainan,"Zyuu Tsubo is a noteworthy dining establishment located in Tainan, known for its unique culinary offerings. While it currently holds no Michelin stars, it has garnered attention for its innovative dishes and inviting atmosphere. The restaurant is recognized for its commitment to quality and creativity, making it a popular choice for both locals and visitors seeking a memorable dining experience.",No,0,,,0,https://framerusercontent.com/images/CT3zsTjWCnDpnGdb0IHJpXdIdA.jpg,0,0,,,Yes,zyuu-tsubo,
Sidoli Radio,," ",Eat & Drink,taipei,"Sidoli Radio is a vibrant establishment located in Taipei, known for its unique blend of music and ambiance. While it currently holds no Michelin stars and has not been reviewed, the venue promises an engaging experience for locals and visitors alike. With its eclectic atmosphere, Sidoli Radio serves as a hub for music enthusiasts, making it a noteworthy spot in the city's lively cultural scene.",No,0,,,0,https://framerusercontent.com/images/oaYUQWVI97QJFysOdCl4PN0YMBo.jpg,0,0,,,No,sidoli-radio,
HiBoRu,," ",Eat & Drink,taipei,"HiBoRu is a unique dining establishment located in the vibrant city of Taipei. Known for its innovative approach to cuisine, HiBoRu blends traditional flavors with modern techniques, creating a memorable culinary experience. Despite currently having no Michelin stars, the restaurant is recognized for its creative dishes and inviting atmosphere, making it a must-visit spot for both locals and tourists alike. Whether you're looking to explore new flavors or enjoy a delightful meal, HiBoRu offers a captivating journey for your taste buds.",No,0,,,0,https://framerusercontent.com/images/ALkwWdNUyTopJPmRYya2Gfy4.jpg,0,0,,,No,hiboru,
Nuo Fu Migao,," ",Eat & Drink,tainan,"Nuo Fu Migao is a renowned restaurant located in Tainan, Taiwan, celebrated for its unique take on traditional Taiwanese cuisine. Known for its vibrant flavors and fresh ingredients, the establishment has quickly gained popularity among locals and visitors alike. Despite not having received Michelin stars yet, it is recognized for its dedication to quality and authenticity, making it a must-visit destination for food enthusiasts exploring the rich culinary landscape of Tainan.",No,0,,,0,https://framerusercontent.com/images/KmswuRsqBlL3dC0gLyfv1igsat8.jpg,0,0,,,No,nuo-fu-migao,
coffee stopover black,," ",Eat & Drink,taichung,"Coffee Stopover Black is a charming café located in Taichung, known for its cozy atmosphere and expertly brewed coffee. This spot is perfect for coffee enthusiasts looking to enjoy a quality cup in a welcoming environment. While it has yet to receive Michelin recognition, its dedication to coffee craftsmanship and inviting ambiance make it a must-visit for locals and tourists alike.",No,0,,,0,https://framerusercontent.com/images/ikge0vxaDhRk51y7Z2hlNuCzrQ.jpg,0,0,,,No,coffee-stopover-black,
Chan Chi Hot Pot Lab - Dunnan Branch,," ",Eat & Drink,taipei,"Chan Chi Hot Pot Lab, located in the vibrant Dunnan area of Taipei, offers a unique dining experience centered around the popular hot pot cuisine. Known for its fresh ingredients and flavorful broths, this restaurant has quickly become a favorite among locals and visitors alike. With a casual atmosphere and a focus on quality, it’s an ideal spot for those looking to enjoy a hearty meal with friends and family. The restaurant is also recognized for its innovative approach, making it a must-try destination for hot pot enthusiasts.",Yes,0,,,0,https://framerusercontent.com/images/wVcD2TGYBYgUBwS8R0C48dGQihs.jpg,0,0,,,Yes,chan-chi-hot-pot-lab-dunnan-branch,
